Rainfall,Year,Month
124.409,1956,Aug
76.3882,1956,Sep
96.0165,1956,Oct
22.0383,1956,Nov
6.37289,1956,Dec
4.43457,1957,Jan
20.7857,1957,Feb
74.8703,1957,Mar
111.926,1957,Apr
100.938,1957,May
77.4971,1957,Jun
132.441,1957,Jul
133.263,1957,Aug
53.1454,1957,Sep
59.1655,1957,Oct
40.3857,1957,Nov
10.7279,1957,Dec
36.4623,1958,Jan
33.4699,1958,Feb
27.5534,1958,Mar
72.6685,1958,Apr
47.7427,1958,May
132.457,1958,Jun
154.608,1958,Jul
136.367,1958,Aug
116.063,1958,Sep
62.426,1958,Oct
12.3239,1958,Nov
14.4906,1958,Dec
23.9149,1959,Jan
21.5529,1959,Feb
26.9576,1959,Mar
77.7194,1959,Apr
61.5282,1959,May
58.9629,1959,Jun
139.416,1959,Jul
136.523,1959,Aug
99.2198,1959,Sep
76.1665,1959,Oct
19.5984,1959,Nov
11.6258,1959,Dec
6.70553,1960,Jan
11.3425,1960,Feb
74.2201,1960,Mar
59.1697,1960,Apr
102.697,1960,May
55.1424,1960,Jun
124.667,1960,Jul
124.252,1960,Aug
94.2798,1960,Sep
38.9049,1960,Oct
20.699,1960,Nov
15.1458,1960,Dec
3.84249,1961,Jan
16.1814,1961,Feb
54.3529,1961,Mar
94.361,1961,Apr
81.699,1961,May
91.2457,1961,Jun
167.493,1961,Jul
164.339,1961,Aug
135.616,1961,Sep
92.0078,1961,Oct
115.958,1961,Nov
16.444,1961,Dec
5.31174,1962,Jan
2.55353,1962,Feb
50.6572,1962,Mar
72.2333,1962,Apr
72.532,1962,May
57.8888,1962,Jun
118.526,1962,Jul
149.936,1962,Aug
87.4711,1962,Sep
81.0537,1962,Oct
36.6889,1962,Nov
14.0822,1962,Dec
11.395,1963,Jan
16.2868,1963,Feb
26.073,1963,Mar
168.527,1963,Apr
98.3435,1963,May
66.1956,1963,Jun
145.794,1963,Jul
145.786,1963,Aug
84.4811,1963,Sep
28.9714,1963,Oct
76.6692,1963,Nov
32.1773,1963,Dec
12.9213,1964,Jan
9.26839,1964,Feb
22.9266,1964,Mar
110.18,1964,Apr
91.4171,1964,May
100.336,1964,Jun
163.59,1964,Jul
186.834,1964,Aug
106.581,1964,Sep
78.91,1964,Oct
11.5142,1964,Nov
37.6412,1964,Dec
16.6625,1965,Jan
3.6692,1965,Feb
23.2978,1965,Mar
86.7381,1965,Apr
35.061,1965,May
48.7522,1965,Jun
127.689,1965,Jul
115.641,1965,Aug
105.136,1965,Sep
111.51,1965,Oct
61.4131,1965,Nov
5.03506,1965,Dec
5.94249,1966,Jan
52.1019,1966,Feb
40.5555,1966,Mar
101.735,1966,Apr
64.4541,1966,May
76.5826,1966,Jun
118.771,1966,Jul
145.995,1966,Aug
102.54,1966,Sep
109.286,1966,Oct
19.8331,1966,Nov
2.1693,1966,Dec
2.32205,1967,Jan
4.39415,1967,Feb
61.8856,1967,Mar
85.1477,1967,Apr
135.922,1967,May
90.823,1967,Jun
192.896,1967,Jul
160.234,1967,Aug
111.11,1967,Sep
118.321,1967,Oct
118.649,1967,Nov
1.89777,1967,Dec
1.67612,1968,Jan
60.8889,1968,Feb
36.9008,1968,Mar
137.031,1968,Apr
73.7837,1968,May
115.487,1968,Jun
125.467,1968,Jul
126.983,1968,Aug
84.2891,1968,Sep
59.0138,1968,Oct
54.3909,1968,Nov
16.512,1968,Dec
29.5359,1969,Jan
43.1245,1969,Feb
67.5269,1969,Mar
69.3594,1969,Apr
79.5255,1969,May
65.2242,1969,Jun
145.672,1969,Jul
121.848,1969,Aug
65.057,1969,Sep
56.9728,1969,Oct
25.2804,1969,Nov
2.09562,1969,Dec
32.2018,1970,Jan
18.1249,1970,Feb
74.5651,1970,Mar
82.8245,1970,Apr
62.9699,1970,May
49.5236,1970,Jun
161.039,1970,Jul
141.899,1970,Aug
106.87,1970,Sep
80.4026,1970,Oct
2.62729,1970,Nov
2.7028,1970,Dec
6.97269,1971,Jan
2.80699,1971,Feb
25.7713,1971,Mar
66.3306,1971,Apr
131.746,1971,May
73.8251,1971,Jun
154.688,1971,Jul
135.944,1971,Aug
79.9308,1971,Sep
76.0908,1971,Oct
42.4099,1971,Nov
14.1919,1971,Dec
6.37936,1972,Jan
36.9881,1972,Feb
25.2422,1972,Mar
104.823,1972,Apr
102.956,1972,May
87.9885,1972,Jun
107.436,1972,Jul
139.237,1972,Aug
97.3523,1972,Sep
78.1079,1972,Oct
44.6095,1972,Nov
5.46646,1972,Dec
6.14145,1973,Jan
4.57923,1973,Feb
3.78242,1973,Mar
55.1056,1973,Apr
114.58,1973,May
54.5033,1973,Jun
127.515,1973,Jul
181.499,1973,Aug
102.542,1973,Sep
